trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-70.94480405490916,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-57.9501013682177,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-56.61992643053404,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,11,-7.413304818326205,"{0: 6, 1: 3, 2: 0, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,5,-94.84734390201517,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 2}",1
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,2,-79.62605758569012,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 1}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,13,-0.5794645523406137,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-116.98844697734737,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,3,1.9012206632202695,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,12,-2.99657232898796,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-44.79414881161109,"{0: 23, 1: 2, 2: 3, 3: 2, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,19,12.46267286043458,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,7,-0.5689139043728675,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,10,0.3944987368419408,"{0: 14, 1: 0, 2: 0, 3: 1, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,9,10.746201135778314,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,1,-22.39796897071357,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,5,32.46953795445071,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,13,0.4294356733995337,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,11,25.3970228170102,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,14,10.842688473199678,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",20,14,10.701934987878222,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.0, 'e': 0.0}",20,8,-73.91196645441237,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 2}",1
3,True,"{'a': 0.0, 'e': 0.0}",20,10,13.251519578038186,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",30,7,28.51519229260927,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
5,True,"{'a': 0.0, 'e': 0.0}",30,12,32.184088572693774,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0.0, 'e': 0.0}",20,16,8.97747547181974,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0.0, 'e': 0.0}",20,13,-51.684428152358244,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 1}",1
8,True,"{'a': 0.0, 'e': 0.0}",20,10,18.17433003663516,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.0, 'e': 0.0}",20,8,23.113571559422354,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",30,16,24.770050635603813,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
