trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.9999500004166653}",20,0,-58.645718064485784,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
2,False,"{'a': 0.01, 'e': 0.9998000066665778}",20,0,-34.70016415932028,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
3,False,"{'a': 0.01, 'e': 0.9995500337489875}",20,0,-157.41681660305176,"{0: 7, 1: 5, 2: 6, 3: 0, 4: 2}",0
4,False,"{'a': 0.01, 'e': 0.9992001066609779}",25,0,-83.85650138003452,"{0: 15, 1: 4, 2: 4, 3: 2, 4: 0}",0
5,False,"{'a': 0.01, 'e': 0.9987502603949663}",20,0,-122.29949235486256,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",0
6,False,"{'a': 0.01, 'e': 0.9982005399352042}",20,0,-67.66664890586368,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
7,False,"{'a': 0.01, 'e': 0.9975510002532796}",20,0,-117.5321963760578,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
8,False,"{'a': 0.01, 'e': 0.9968017063026194}",20,0,-79.17007096488084,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.01, 'e': 0.9959527330119943}",20,0,-179.66695861095656,"{0: 9, 1: 4, 2: 3, 3: 1, 4: 3}",0
10,False,"{'a': 0.01, 'e': 0.9950041652780258}",20,0,-80.76277097415024,"{0: 10, 1: 2, 2: 8, 3: 0, 4: 0}",0
11,False,"{'a': 0.01, 'e': 0.9939560979566968}",30,0,-132.66363915705836,"{0: 16, 1: 5, 2: 8, 3: 0, 4: 1}",0
12,False,"{'a': 0.01, 'e': 0.9928086358538663}",20,0,-44.068366242190564,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
13,False,"{'a': 0.01, 'e': 0.9915618937147881}",35,6,-139.0017785688789,"{0: 17, 1: 3, 2: 7, 3: 0, 4: 2}",1
14,False,"{'a': 0.01, 'e': 0.9902159962126371}",20,0,-127.60888570113838,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
15,False,"{'a': 0.01, 'e': 0.9887710779360422}",20,0,-170.24528322886755,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
16,False,"{'a': 0.01, 'e': 0.9872272833756269}",20,0,-107.11447477564431,"{0: 13, 1: 0, 2: 4, 3: 2, 4: 1}",0
17,False,"{'a': 0.01, 'e': 0.9855847669095608}",25,11,-53.723992228937746,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 1}",1
18,False,"{'a': 0.01, 'e': 0.9838436927881214}",25,0,-134.55142383927694,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
