trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-57.18475512289654,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,17,-2.2408700280099105,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-107.55621446975856,"{0: 11, 1: 0, 2: 8, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-131.14934891832542,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-124.03229158222567,"{0: 8, 1: 5, 2: 5, 3: 1, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",30,0,-84.02946482873776,"{0: 21, 1: 3, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-92.73262505891873,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-56.10710671533599,"{0: 12, 1: 2, 2: 6, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-151.6220072754728,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,11,-52.218484186436214,"{0: 10, 1: 0, 2: 3, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",20,0,-122.88157051358023,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",30,0,-123.74149608945187,"{0: 21, 1: 1, 2: 6, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-141.5024233964618,"{0: 10, 1: 6, 2: 8, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-68.73486778626366,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",35,0,-123.39224446979726,"{0: 22, 1: 2, 2: 8, 3: 3, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-79.55721288518444,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-105.56340875634012,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-124.18774192234763,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,0,-202.71660012140603,"{0: 15, 1: 4, 2: 8, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,15,-8.857446812543339,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 0}",1
1,True,"{'a': 0.0, 'e': 0.0}",25,0,-138.32209302566335,"{0: 15, 1: 3, 2: 4, 3: 1, 4: 2}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-130.74953580429457,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
3,True,"{'a': 0.0, 'e': 0.0}",25,2,-56.229474098954086,"{0: 15, 1: 4, 2: 3, 3: 1, 4: 0}",1
4,True,"{'a': 0.0, 'e': 0.0}",20,0,-95.80784316444027,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
5,True,"{'a': 0.0, 'e': 0.0}",20,0,-86.2722742864074,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
6,True,"{'a': 0.0, 'e': 0.0}",30,0,-140.78756189742828,"{0: 18, 1: 5, 2: 5, 3: 0, 4: 2}",0
7,True,"{'a': 0.0, 'e': 0.0}",20,0,-43.791561014356404,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",25,0,-120.11820989285029,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",0
9,True,"{'a': 0.0, 'e': 0.0}",20,0,-111.78867379532807,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
10,True,"{'a': 0.0, 'e': 0.0}",25,0,-103.70145557480593,"{0: 13, 1: 1, 2: 11, 3: 0, 4: 0}",0
